id,disease_id,symptom_id
772,665,101
773,665,463
774,665,7
775,665,3
776,665,468
777,665,328
778,665,355
779,665,151
780,665,469
781,665,69
782,665,74
783,329,270
784,329,252
785,329,190
786,329,60
787,329,201
788,329,414
789,329,415
790,329,83
791,329,19
792,329,416
793,329,417
794,329,371
795,329,38
796,132,81
797,611,69
798,611,70
799,611,76
800,611,539
801,611,115
802,611,540
803,123,179
804,123,60
805,123,355
806,123,56
807,123,7
808,123,111
809,123,329
810,123,201
811,123,381
812,449,15
813,449,108
814,449,110
815,449,113
816,449,114
817,449,264
818,449,263
819,151,90
820,169,62
821,354,419
822,354,43
823,143,83
824,621,9
825,621,722
826,621,530
827,621,340
828,621,724
829,621,202
830,621,3
831,621,111
832,621,60
833,621,197
834,174,16
835,191,69
836,467,667
837,467,668
838,467,139
839,467,666
840,527,637
841,527,96
842,527,307
843,527,429
844,527,23
845,527,88
846,527,11
847,527,3
848,527,624
849,527,57
850,527,100
851,527,728
852,135,99
853,341,420
854,341,66
855,206,70
856,693,578
857,693,183
858,693,341
859,693,111
860,693,60
861,693,139
862,693,162
863,693,673
864,600,37
865,600,57
866,600,582
867,600,106
868,600,432
869,600,7
870,600,190
871,600,111
872,600,10
873,600,188
874,600,60
875,650,50
876,650,489
877,650,115
878,650,202
879,650,69
880,133,15
881,154,99
882,175,88
883,209,8
884,209,17
885,126,202
886,126,3
887,126,381
888,126,243
889,126,7
890,126,382
891,126,217
892,126,383
893,146,3
894,146,6
895,85,100
896,85,188
897,85,197
898,85,54
899,85,139
900,85,272
901,85,96
902,85,105
903,85,46
904,208,80
905,695,674
906,695,675
907,695,676
908,695,626
909,695,196
910,695,134
911,695,677
912,695,678
913,695,60
914,695,197
915,695,264
916,695,679
917,695,370
918,695,195
919,695,663
920,695,680
921,695,136
922,695,521
923,695,388
924,695,681
925,695,173
926,695,378
927,695,588
928,695,682
929,695,366
930,177,40
931,177,87
932,72,75
933,72,276
934,72,277
935,72,159
936,72,278
937,369,97
938,369,427
939,369,4
940,369,428
941,369,7
942,369,3
943,369,23
944,369,201
945,369,96
946,141,2
947,385,264
948,385,212
949,385,167
950,385,370
951,385,359
952,385,47
953,385,263
954,385,127
955,385,36
956,385,270
957,385,327
958,198,89
959,244,56
960,244,179
961,244,205
962,244,60
963,244,138
964,244,54
965,244,201
966,363,13
967,363,195
968,363,48
969,363,145
970,363,16
971,363,112
972,363,431
973,148,65
974,636,243
975,636,3
976,636,205
977,636,155
978,636,60
979,636,197
980,636,7
981,636,238
982,636,280
983,636,93
984,231,88
985,149,99
986,144,38
987,187,1
988,187,15
989,187,16
990,384,134
991,384,48
992,430,60
993,430,179
994,430,119
995,430,266
996,430,138
997,430,111
998,430,269
999,430,197
1000,430,243
1001,430,125
1002,430,273
1003,430,9
1004,430,274
1005,156,94
1006,156,95
1007,181,72
1008,181,89
1009,214,58
1010,115,60
1011,115,384
1012,115,197
1013,115,385
1014,115,386
1015,115,238
1016,115,387
1017,115,7
1018,115,47
1019,115,48
1020,115,111
1021,115,134
1022,115,13
1023,437,81
1024,178,82
1025,202,94
1026,390,263
1027,390,135
1028,390,60
1029,390,3
1030,390,307
1031,390,9
1032,390,341
1033,390,1
1034,332,673
1035,332,60
1036,332,197
1037,332,54
1038,332,4
1039,332,7
1040,332,733
1041,332,283
1042,332,595
1043,332,207
1044,332,588
1045,332,268
1046,182,19
1047,525,696
1048,525,697
1049,525,698
1050,525,699
1051,525,700
1052,525,701
1053,525,702
1054,525,703
1055,644,329
1056,644,3
1057,644,243
1058,644,238
1059,644,542
1060,644,29
1061,644,36
1062,463,21
1063,463,401
1064,463,402
1065,463,123
1066,190,38
1067,190,40
1068,203,20
1069,203,98
1070,400,18
1071,400,152
1072,400,198
1073,90,3
1074,90,264
1075,90,179
1076,90,297
1077,90,298
1078,90,139
1079,90,119
1080,90,138
1081,90,299
1082,90,111
1083,90,11
1084,500,7
1085,500,88
1086,500,96
1087,500,47
1088,500,716
1089,500,244
1090,500,459
1091,210,34
1092,391,134
1093,391,47
1094,391,49
1095,276,22
1096,276,57
1097,276,160
1098,276,256
1099,276,60
1100,276,162
1101,251,96
1102,251,97
1103,251,98
1104,251,330
1105,119,305
1106,119,306
1107,119,307
1108,119,23
1109,119,3
1110,27,129
1111,27,109
1112,27,131
1113,27,132
1114,27,133
1115,27,136
1116,27,134
1117,424,152
1118,424,385
1119,424,9
1120,424,3
1121,424,177
1122,424,181
1123,424,95
1124,628,543
1125,628,544
1126,628,73
1127,249,41
1128,249,45
1129,249,46
1130,249,134
1131,221,99
1132,221,105
1133,221,106
1134,221,19
1135,221,96
1136,221,318
1137,221,202
1138,221,319
1139,221,320
1140,221,321
1141,221,322
1142,221,197
1143,221,323
1144,387,3
1145,387,435
1146,387,270
1147,387,436
1148,387,234
1149,387,438
1150,387,437
1151,387,115
1152,387,102
1153,228,70
1154,228,179
1155,228,4
1156,228,16
1157,228,158
1158,228,111
1159,228,139
1160,228,264
1161,228,163
1162,228,197
1163,630,37
1164,630,106
1165,630,97
1166,630,202
1167,630,105
1168,630,3
1169,213,81
1170,213,324
1171,213,325
1172,213,152
1173,397,94
1174,397,9
1175,397,274
1176,397,341
1177,397,441
1178,397,340
1179,397,339
1180,397,205
1181,397,197
1182,397,280
1183,279,71
1184,279,73
1185,279,202
1186,279,125
1187,279,3
1188,279,200
1189,279,201
1190,279,10
1191,240,135
1192,240,137
1193,240,343
1194,638,90
1195,638,547
1196,353,64
1197,326,60
1198,326,238
1199,326,7
1200,326,232
1201,326,152
1202,326,111
1203,326,197
1204,326,4
1205,326,145
1206,326,327
1207,326,119
1208,326,134
1209,326,174
1210,625,5
1211,625,89
1212,625,243
1213,625,152
1214,625,326
1215,254,52
1216,254,157
1217,254,197
1218,254,135
1219,254,122
1220,254,3
1221,254,54
1222,254,4
1223,254,283
1224,254,341
1225,254,268
1226,388,442
1227,388,443
1228,388,77
1229,482,4
1230,482,7
1231,482,488
1232,482,717
1233,482,718
1234,482,719
1235,482,304
1236,482,720
1237,351,6
1238,351,62
1239,351,424
1240,351,425
1241,351,426
1242,219,23
1243,219,3
1244,219,60
1245,219,122
1246,219,96
1247,219,329
1248,219,330
1249,219,205
1250,219,157
1251,219,334
1252,219,335
1253,219,117
1254,219,63
1255,643,23
1256,643,97
1257,643,106
1258,643,432
1259,643,37
1260,643,202
1261,643,3
1262,643,488
1263,7,4
1264,7,7
1265,7,3
1266,7,583
1267,7,11
1268,7,471
1269,7,135
1270,7,584
1271,7,585
1272,265,20
1273,265,125
1274,265,3
1275,265,201
1276,265,135
1277,265,4
1278,265,322
1279,265,354
1280,659,39
1281,659,134
1282,659,47
1283,659,192
1284,659,48
1285,663,45
1286,663,472
1287,663,473
1288,663,474
1289,663,441
1290,663,202
1291,663,3
1292,663,475
1293,663,188
1294,663,190
1295,663,185
1296,663,476
1297,663,369
1298,663,43
1299,663,68
1300,663,80
1301,258,76
1302,258,3
1303,258,54
1304,258,60
1305,258,221
1306,258,75
1307,258,259
1308,258,355
1309,125,71
1310,125,74
1311,125,73
1312,125,544
1313,125,4
1314,55,4
1315,55,243
1316,55,190
1317,55,125
1318,55,7
1319,55,330
1320,55,3
1321,55,535
1322,55,466
1323,532,66
1324,532,67
1325,532,148
1326,532,486
1327,352,20
1328,352,25
1329,352,26
1330,352,27
1331,273,44
1332,273,39
1333,273,134
1334,273,7
1335,653,27
1336,653,158
1337,653,478
1338,431,53
1339,431,75
1340,431,68
1341,697,88
1342,697,429
1343,697,3
1344,697,111
1345,697,4
1346,697,273
1347,697,125
1348,697,60
1349,697,197
1350,697,54
1351,697,165
1352,697,721
1353,134,85
1354,134,243
1355,134,7
1356,134,3
1357,134,466
1358,134,304
1359,134,550
1360,134,189
1361,134,347
1362,134,519
1363,662,93
1364,662,154
1365,662,4
1366,662,119
1367,662,477
1368,662,283
1369,662,7
1370,662,29
1371,662,30
1372,662,31
1373,662,35
1374,662,36
1375,662,55
1376,652,21
1377,652,479
1378,652,66
1379,652,408
1380,422,96
1381,422,97
1382,422,92
1383,422,1
1384,422,119
1385,489,93
1386,489,197
1387,489,54
1388,489,253
1389,489,254
1390,489,4
1391,489,255
1392,128,19
1393,128,139
1394,128,551
1396,374,63
1397,374,430
1398,583,725
1399,583,158
1400,583,681
1401,583,244
1402,583,726
1403,583,11
1404,583,148
1405,583,727
1406,583,468
1407,583,355
1408,583,728
1409,583,729
1410,583,459
1411,450,46
1412,450,87
1413,450,1
1414,450,104
1415,450,138
1416,450,91
1417,450,60
1418,450,4
1419,450,139
1420,450,140
1421,450,141
1422,450,3
1423,660,26
1424,660,27
1425,660,179
1426,660,25
1427,660,297
1428,222,94
1429,222,9
1430,222,6
1431,222,336
1432,222,188
1433,222,128
1434,222,340
1435,222,341
1436,222,180
1437,415,51
1438,415,143
1439,415,63
1440,415,68
1441,293,730
1442,293,731
1443,293,732
1444,293,183
1445,293,56
1446,293,160
1447,293,60
1448,293,197
1449,293,162
1450,293,551
1451,293,3
1452,293,96
1453,647,44
1454,647,480
1455,138,552
1456,138,554
1457,138,555
1458,138,270
1459,138,378
1460,138,316
1461,453,578
1462,453,361
1463,453,586
1464,453,197
1465,453,3
1466,453,104
1467,453,283
1468,453,207
1469,453,463
1470,453,587
1471,453,588
1472,453,422
1473,453,589
1474,453,461
1475,358,243
1476,358,197
1477,358,54
1478,358,190
1479,358,188
1480,358,7
1481,358,125
1482,358,9
1483,312,30
1484,312,36
1485,312,60
1486,312,135
1487,312,7
1488,312,264
1489,417,68
1490,364,5
1491,364,11
1492,364,51
1493,364,54
1494,364,55
1495,364,338
1496,364,201
1497,364,3
1498,364,128
1499,364,341
1500,364,202
1501,364,7
1502,364,365
1503,364,190
1504,658,202
1505,658,3
1506,658,97
1507,658,441
1508,658,50
1509,658,98
1510,29,586
1511,29,579
1512,29,361
1513,29,578
1514,29,590
1515,29,197
1516,29,3
1517,29,104
1518,29,422
1519,29,588
1520,29,415
1521,10,28
1522,10,31
1523,10,144
1524,10,4
1525,10,7
1526,10,126
1527,10,127
1528,10,60
1529,10,142
1530,10,145
1531,10,146
1532,10,147
1533,335,1
1534,335,3
1535,335,16
1536,335,96
1537,316,30
1538,316,31
1539,316,406
1540,316,407
1541,371,109
1542,371,483
1543,371,734
1544,371,735
1545,371,736
1546,371,737
1547,371,463
1548,371,738
1549,371,739
1550,666,484
1551,666,134
1552,666,192
1553,666,7
1554,666,39
1555,666,47
1556,666,48
1557,2,73
1558,2,4
1559,2,3
1560,2,154
1561,2,125
1562,2,60
1563,224,101
1564,224,102
1565,224,342
1566,1,593
1567,1,594
1568,1,591
1569,1,592
1570,1,4
1571,1,3
1572,1,243
1573,1,164
1574,1,125
1575,1,595
1576,1,596
1577,318,39
1578,318,41
1579,318,45
1580,632,62
1581,632,68
1582,632,179
1583,632,54
1584,35,57
1585,35,160
1586,35,162
1587,35,139
1588,234,80
1589,234,344
1590,234,345
1591,361,27
1592,361,25
1593,508,62
1594,508,139
1595,508,248
1596,386,43
1597,386,65
1598,619,79
1599,619,185
1600,619,4
1601,619,188
1602,606,182
1603,606,183
1604,606,184
1605,606,60
1606,606,154
1607,606,119
1608,379,20
1609,379,25
1610,379,367
1611,379,179
1612,379,181
1613,471,740
1614,471,160
1615,471,88
1616,471,57
1617,471,635
1618,471,741
1619,471,742
1620,471,743
1621,471,533
1622,471,610
1623,376,33
1624,376,96
1625,426,39
1626,426,40
1627,426,7
1628,426,60
1629,403,70
1630,403,181
1631,403,3
1632,403,444
1633,403,445
1634,403,179
1635,399,102
1636,399,446
1637,399,447
1638,399,448
1639,399,449
1640,399,151
1641,399,153
1642,5,13
1643,5,142
1644,5,124
1645,466,418
1646,466,41
1647,466,45
1648,466,46
1649,433,2
1650,433,109
1651,433,104
1652,375,28
1653,375,432
1654,375,19
1655,375,144
1656,375,7
1657,375,433
1658,394,41
1659,394,45
1660,420,17
1661,420,577
1662,420,578
1663,420,264
1664,420,273
1665,420,579
1666,420,9
1667,420,580
1668,420,3
1669,420,111
1670,420,11
1671,220,89
1672,220,198
1673,220,193
1674,220,122
1675,220,108
1676,40,13
1677,40,165
1678,40,166
1679,40,167
1680,40,168
1681,40,169
1682,40,124
1683,40,170
1684,40,171
1685,40,172
1686,40,173
1687,40,147
1688,614,55
1689,614,111
1690,614,60
1691,614,197
1692,614,179
1693,614,119
1694,614,355
1695,614,284
1696,236,14
1697,236,190
1698,236,204
1699,236,351
1700,236,238
1701,396,22
1702,396,56
1703,396,341
1704,396,179
1705,396,197
1706,396,53
1707,396,156
1708,524,14
1709,524,4
1710,524,7
1711,524,157
1712,524,435
1713,516,667
1714,516,62
1715,516,744
1716,516,745
1717,516,746
1718,238,15
1719,238,16
1720,238,82
1721,238,7
1722,238,135
1723,238,155
1724,238,264
1725,238,112
1726,238,122
1727,408,86
1728,423,107
1729,423,179
1730,423,262
1731,423,284
1732,423,285
1733,423,308
1734,241,23
1735,241,212
1736,241,3
1737,241,96
1738,241,117
1739,241,354
1740,241,112
1741,526,7
1742,526,11
1743,526,18
1744,526,365
1745,41,4
1746,41,189
1747,41,186
1748,41,190
1749,41,37
1750,696,3
1751,696,747
1752,696,748
1753,696,749
1754,696,750
1755,696,459
1756,696,751
1757,696,196
1758,696,752
1759,696,753
1760,696,263
1761,696,264
1762,696,567
1763,696,134
1764,696,690
1765,696,677
1766,696,60
1767,696,197
1768,469,61
1769,469,100
1770,469,128
1771,444,1
1772,444,69
1773,444,36
1774,444,111
1775,444,3
1776,444,115
1777,444,112
1778,444,267
1779,444,119
1780,444,122
1781,444,155
1782,38,13
1783,38,81
1784,38,96
1785,38,112
1786,38,191
1787,38,6
1788,38,193
1789,38,195
1790,38,196
1791,38,198
1792,38,147
1793,264,90
1794,264,148
1795,264,215
1796,264,356
1797,520,93
1798,520,250
1799,520,154
1800,520,251
1801,520,252
1802,406,8
1803,406,63
1804,406,96
1805,406,6
1806,406,88
1807,406,117
1808,406,2
1809,406,148
1810,406,263
1811,406,264
1812,256,65
1813,256,234
1814,256,357
1815,480,47
1816,480,192
1817,480,194
1818,478,75
1819,478,405
1820,267,22
1821,267,138
1822,267,201
1823,267,135
1824,267,60
1825,267,179
1826,267,119
1827,267,361
1828,267,355
1829,267,54
1830,267,4
1831,267,329
1832,427,4
1833,427,12
1834,427,40
1835,427,55
1836,427,95
1837,522,24
1838,522,7
1839,522,359
1840,522,96
1841,575,71
1842,575,73
1843,575,74
1844,575,117
1845,507,19
1846,507,1
1847,507,241
1848,507,7
1849,507,244
1850,484,23
1851,484,100
1852,484,112
1853,484,212
1854,484,122
1855,484,96
1856,604,63
1857,604,64
1858,604,77
1859,604,259
1860,604,221
1861,604,494
1862,495,52
1863,495,96
1864,540,33
1865,540,7
1866,540,36
1867,540,508
1868,540,10
1869,540,32
1870,540,37
1871,274,4
1872,274,55
1873,274,56
1874,274,272
1875,274,60
1876,274,197
1877,274,190
1878,274,282
1879,274,139
1880,274,283
1881,274,11
1882,110,36
1883,110,303
1884,110,304
1885,110,202
1886,110,144
1887,110,105
1888,110,263
1889,110,264
1890,533,179
1891,533,754
1892,533,183
1893,533,755
1894,533,611
1895,533,111
1896,533,60
1897,533,197
1898,533,184
1899,533,551
1900,533,162
1901,533,636
1902,56,54
1903,56,4
1904,56,3
1905,56,179
1906,56,104
1907,56,139
1908,56,199
1909,56,200
1910,56,201
1911,419,96
1912,419,88
1913,419,63
1914,419,264
1915,419,263
1916,454,409
1917,454,410
1918,454,179
1919,454,221
1920,454,163
1921,454,341
1922,454,201
1923,454,411
1924,454,53
1925,454,4
1926,454,60
1927,559,177
1928,559,96
1929,559,57
1930,559,496
1931,559,34
1932,497,4
1933,497,186
1934,497,3
1935,459,20
1936,459,59
1937,459,76
1938,459,164
1939,514,61
1940,514,66
1941,514,67
1942,534,83
1943,534,84
1944,534,196
1945,534,497
1946,534,498
1947,501,70
1948,501,179
1949,501,7
1950,501,4
1951,501,54
1952,501,60
1953,111,556
1954,111,557
1955,111,186
1956,111,365
1957,541,24
1958,541,221
1959,541,7
1960,541,489
1961,294,39
1962,294,46
1963,294,44
1964,227,49
1965,227,203
1966,227,134
1967,227,347
1968,227,348
1969,227,349
1970,227,174
1971,227,350
1972,18,637
1973,18,330
1974,18,429
1975,18,23
1976,18,96
1977,18,3
1978,18,237
1979,18,202
1980,18,125
1981,18,111
1982,18,611
1983,486,66
1984,486,67
1985,485,58
1986,485,240
1987,485,138
1988,485,104
1989,485,1
1990,485,171
1991,485,4
1992,517,2
1993,517,64
1994,517,180
1995,517,181
1996,517,60
1997,517,197
1998,517,1
1999,517,134
2000,295,86
2001,295,362
2002,295,363
2003,538,502
2004,538,495
2005,538,54
2006,538,503
2007,545,499
2008,545,500
2009,545,501
2010,545,157
2011,545,239
2012,545,101
2013,22,3
2014,22,631
2015,22,632
2016,22,141
2017,22,267
2018,22,98
2019,22,135
2020,22,611
2021,22,44
2022,22,633
2023,22,624
2024,22,634
2025,22,635
2026,22,37
2027,22,57
2028,22,497
2029,22,97
2030,22,636
2031,22,444
2032,118,669
2033,118,670
2034,118,671
2035,118,672
2036,246,44
2037,542,10
2038,555,10
2039,555,32
2040,555,34
2041,555,37
2042,626,21
2043,626,67
2044,626,75
2045,626,221
2046,626,125
2047,626,4
2048,626,405
2049,19,629
2050,19,630
2051,19,275
2052,603,9
2053,603,94
2054,603,340
2055,603,530
2056,566,28
2057,566,49
2058,566,89
2059,566,7
2060,566,146
2061,566,399
2062,566,197
2063,566,60
2064,566,36
2065,627,90
2066,481,11
2067,481,206
2068,481,68
2069,481,207
2070,523,56
2071,523,4
2072,523,125
2073,523,264
2074,523,97
2075,523,60
2076,523,197
2077,523,7
2078,523,179
2079,523,488
2080,523,37
2081,523,319
2082,523,41
2083,590,71
2084,590,73
2085,590,74
2086,590,523
2087,458,206
2088,458,558
2089,458,68
2090,458,201
2091,550,495
2092,550,504
2093,550,84
2094,565,509
2095,565,57
2096,565,201
2097,565,8
2098,565,54
2099,565,97
2100,569,9
2101,569,12
2102,569,52
2103,569,95
2104,569,4
2105,569,179
2106,569,502
2107,292,685
2108,292,686
2109,292,687
2110,292,688
2111,292,39
2112,292,689
2113,292,46
2114,292,41
2115,292,690
2116,292,691
2117,292,692
2118,292,693
2119,292,694
2120,292,695
2121,570,96
2122,570,177
2123,570,3
2124,570,148
2125,570,7
2126,570,264
2127,570,238
2128,570,9
2129,570,274
2130,570,97
2131,608,21
2132,608,4
2133,608,3
2134,608,111
2135,608,531
2136,564,1
2137,564,52
2138,564,179
2139,564,138
2140,564,181
2141,564,4
2142,564,10
2143,564,97
2144,564,96
2145,564,125
2146,305,18
2147,305,19
2148,305,365
2149,305,244
2150,305,139
2151,305,7
2152,305,197
2153,305,145
2154,305,238
2155,634,9
2156,634,197
2157,634,541
2158,634,423
2159,634,536
2160,634,469
2161,634,201
2162,634,122
2163,634,238
2164,634,280
2165,587,71
2166,587,74
2167,587,524
2168,613,25
2169,613,77
2170,613,559
2171,613,561
2172,535,29
2173,535,36
2174,535,58
2175,576,28
2176,576,33
2177,410,4
2178,410,82
2179,410,3
2180,410,243
2181,410,105
2182,410,535
2183,410,97
2184,410,7
2185,410,186
2186,410,188
2187,410,197
2188,596,102
2189,596,436
2190,596,275
2191,596,303
2192,42,29
2193,42,243
2194,42,564
2195,42,3
2196,42,7
2197,42,428
2198,609,432
2199,609,535
2200,609,97
2201,609,202
2202,609,197
2203,609,375
2204,609,283
2205,609,536
2206,609,12
2207,609,95
2208,609,100
2209,492,12
2210,492,96
2211,492,128
2212,327,6
2213,327,657
2214,327,658
2215,327,659
2216,585,25
2217,585,77
2218,585,518
2219,649,7
2220,649,171
2221,649,481
2222,649,3
2223,649,39
2224,602,497
2225,602,202
2226,602,3
2227,602,35
2228,602,83
2229,602,85
2230,602,87
2231,642,21
2232,642,485
2233,642,179
2234,642,66
2235,642,437
2236,642,486
2237,64,212
2238,64,565
2239,64,566
2240,64,7
2241,64,60
2242,64,197
2243,64,196
2244,64,3
2245,64,145
2246,64,264
2247,64,567
2248,64,150
2249,64,127
2250,64,270
2251,64,568
2252,64,238
2253,64,124
2254,64,419
2255,64,571
2256,64,146
2257,661,548
2258,661,202
2259,661,334
2260,661,24
2261,661,64
2262,281,92
2263,281,97
2264,281,96
2265,281,54
2266,281,243
2267,281,135
2268,281,366
2269,281,197
2270,297,548
2271,297,638
2272,297,639
2273,297,640
2274,297,641
2275,297,420
2276,297,643
2277,297,25
2278,297,62
2279,297,645
2280,52,209
2281,52,210
2282,52,213
2283,52,196
2284,612,83
2285,612,86
2286,612,537
2287,612,538
2288,657,63
2289,657,82
2290,657,221
2291,657,148
2292,657,243
2293,657,125
2294,657,60
2295,298,25
2296,298,27
2297,298,367
2298,298,179
2299,633,54
2300,633,60
2301,633,201
2302,633,202
2303,633,488
2304,633,197
2305,633,162
2306,633,526
2307,633,163
2308,633,243
2309,633,280
2310,633,283
2311,633,154
2312,291,68
2313,269,85
2314,269,181
2315,269,122
2316,269,174
2317,269,7
2318,269,199
2319,269,188
2320,269,359
2321,269,171
2322,269,264
2323,269,3
2324,637,33
2325,131,4
2326,131,10
2327,131,466
2328,131,188
2329,131,190
2330,131,157
2331,131,199
2332,131,11
2333,131,412
2334,131,584
2335,639,243
2336,639,471
2337,639,238
2338,639,186
2339,639,441
2340,639,155
2341,639,287
2342,639,213
2343,639,483
2344,639,79
2345,421,3
2346,421,704
2347,421,152
2348,421,705
2349,421,706
2350,421,707
2351,421,708
2352,421,234
2353,421,709
2354,421,463
2355,421,710
2356,421,711
2357,421,712
2358,421,713
2359,421,714
2360,421,715
2361,537,505
2362,537,143
2363,537,507
2364,537,43
2365,537,65
2366,289,79
2367,289,261
2368,289,233
2369,289,232
2370,528,179
2371,528,262
2372,528,119
2373,528,355
2374,528,341
2375,528,139
2376,528,11
2377,528,181
2378,528,4
2379,674,29
2380,674,35
2381,674,243
2382,674,157
2383,674,93
2384,674,111
2385,674,205
2386,674,452
2387,674,7
2388,674,454
2389,674,121
2390,669,57
2391,669,99
2392,669,37
2393,669,470
2394,669,177
2395,669,330
2396,669,96
2397,669,23
2398,669,471
2399,488,81
2400,488,86
2401,488,219
2402,488,224
2403,690,4
2404,690,97
2405,690,96
2406,690,3
2407,690,144
2408,690,28
2409,690,37
2410,690,7
2411,690,54
2412,690,381
2413,690,45
2414,690,684
2415,690,88
2416,690,196
2417,548,34
2418,548,35
2419,548,84
2420,548,57
2421,309,39
2422,309,44
2423,309,47
2424,309,48
2425,309,49
2426,309,134
2427,309,45
2428,255,10
2429,255,117
2430,593,106
2431,593,432
2432,593,535
2433,593,105
2434,593,683
2435,593,97
